CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
IBARRA,2015,SEPTIEMBRE, 4.098 , 687 , 1.618 , 123 , 1.075 , 8 , 23 , 7.632 , 4.738 , 22.063 ,,, 8.699 , 46.196 
IBARRA,2015,OCTUBRE, 4.433 , 827 , 1.687 , 273 , 393 , 7 , 17 , 7.637 , 4.203 , 20.074 ,,, 8.415 , 41.849 
IBARRA,2015,NOVIEMBRE, 4.495 , 732 , 1.663 , 251 , 156 , 4 , 26 , 7.327 , 3.948 , 19.821 ,,, 8.050 , 39.578 
IBARRA,2015,DICIEMBRE, 5.186 , 782 , 1.750 , 325 , 344 , 8 , 20 , 8.415 , 4.450 , 22.917 ,,, 9.286 , 44.167  
IBARRA,2016,ENERO, 4.910 , 712 , 1.772 , 268 , 290 , 15 , 43 , 8.010 , 4.753 , 20.424 ,,, 8.845 , 40.273 
IBARRA,2016,FEBRERO, 4.823 , 654 , 1.703 , 303 , 258 , 1 , 34 , 7.776 , 4.198 , 18.468 ,,, 8.492 , 37.542 
LOJA,2014,AGOSTO, 4.831 , 656 , 1.289 , 156 , 246 , 50 , 154 , 7.382 , 3.222 , 25.763 ,,, 8.906 , 54.002 
LOJA,2014,SEPTIEMBRE, 4.495 , 575 , 1.269 , 160 , 290 , 93 , 183 , 7.065 , 2.950 , 20.241 ,,, 8.662 , 47.540 
LOJA,2014,OCTUBRE, 4.626 , 547 , 1.187 , 216 , 275 , 103 , 149 , 7.103 , 2.835 , 19.432 ,,, 8.529 , 47.339 
LOJA,2014,NOVIEMBRE, 4.834 , 562 , 1.302 , 191 , 191 , 119 , 156 , 7.355 , 2.999 , 18.343 ,,, 8.752 , 47.375 
LOJA,2014,DICIEMBRE, 5.069 , 608 , 1.511 , 227 , 229 , 36 , 216 , 7.896 , 3.135 , 20.250 ,,, 9.620 , 51.320 
LOJA,2015,ENERO, 4.049 , 535 , 1.612 , 211 , 213 , 48 , 235 , 6.903 , 2.956 , 20.434 ,,, 8.157 , 49.358 
LOJA,2015,FEBRERO, 3.858 , 640 , 1.501 , 230 , 179 , 42 , 203 , 6.653 , 3.181 , 19.175 ,,, 7.742 , 46.526 
LOJA,2015,MARZO, 4.005 , 738 , 1.563 , 472 , 376 , 339 , 357 , 7.850 , 3.400 , 20.326 ,,, 9.473 , 52.669 
LOJA,2015,ABRIL, 3.933 , 697 , 1.447 , 344 , 187 , 150 , 293 , 7.051 , 2.997 , 21.748 ,,, 8.371 , 55.453 
LOJA,2015,MAYO, 4.944 , 983 , 1.526 , 306 , 188 , 54 , 281 , 8.282 , 3.523 , 21.775 ,,, 9.668 , 54.172 
LOJA,2015,JUNIO, 3.827 , 979 , 1.447 , 430 , 174 , 66 , 345 , 7.268 , 2.995 , 20.709 ,,, 8.773 , 50.923 
LOJA,2015,JULIO, 4.100 , 915 , 1.500 , 358 , 179 , 52 , 396 , 7.500 , 3.377 , 25.166 ,,, 7.500 , 66.791 
